epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1043.31,1.03692,0.66917,0.87872,0.97217,0.83184,0.87675,0.52628,1.41773,0.84126,1.10426,4.47606e-05,4.47606e-05,4.47606e-05
90,1055.91,1.17887,0.72723,0.92334,0.93396,0.80952,0.8532,0.52438,1.39629,0.84912,1.10421,3.9264e-05,3.9264e-05,3.9264e-05
91,1069.54,1.03289,0.68558,0.90227,0.9633,0.78571,0.84239,0.52379,1.39514,0.87984,1.11378,3.4227e-05,3.4227e-05,3.4227e-05
92,1080.92,1.089,0.70254,0.92237,0.94167,0.76891,0.83018,0.51012,1.39385,0.88751,1.12034,2.96546e-05,2.96546e-05,2.96546e-05
93,1092.56,1.03187,0.66075,0.89527,0.90882,0.7619,0.82524,0.5034,1.39407,0.89443,1.11682,2.55513e-05,2.55513e-05,2.55513e-05
94,1103.24,1.04448,0.69693,0.91309,0.92988,0.7381,0.82062,0.50414,1.38799,0.89919,1.1152,2.19212e-05,2.19212e-05,2.19212e-05
95,1114.92,1.0477,0.69804,0.91127,0.94074,0.75608,0.82484,0.4988,1.39803,0.89959,1.11584,1.87678e-05,1.87678e-05,1.87678e-05
96,1126.39,1.04716,0.67152,0.90154,0.94073,0.75588,0.82385,0.48922,1.40291,0.9,1.11768,1.60943e-05,1.60943e-05,1.60943e-05
97,1137.04,1.01334,0.71155,0.91687,0.94087,0.75788,0.82484,0.49486,1.39975,0.89207,1.11446,1.39032e-05,1.39032e-05,1.39032e-05
98,1147.51,0.99369,0.66115,0.89127,0.94095,0.7589,0.82575,0.49817,1.404,0.89756,1.11142,1.21968e-05,1.21968e-05,1.21968e-05
99,1159.39,1.01906,0.65648,0.90281,0.94088,0.75793,0.8253,0.49625,1.4094,0.90386,1.11325,1.09768e-05,1.09768e-05,1.09768e-05
100,1170.81,1.00765,0.66224,0.90183,0.96651,0.7381,0.81712,0.48932,1.4345,0.91487,1.12062,1.02443e-05,1.02443e-05,1.02443e-05
